Scan Code,Modifier,Description,Price,Cost,Units/Case,Department ID,Tax Type ID,Is FoodStampable,Current Inventory,Price Group Name,Vendor Name,Linked Item,Column1,Column2,Column3
08069207032,0,strike amd light (lighter),0.84,11.37,1,600,101,-1,6,,,,,,
69415560223,0,FIFO Ear Buds,5.99,1.99,1,600,101,0,-9,,,,,,
74767010100,0,STUN GUN,27.99,18.99,1,600,101,0,0,,,,,,
74767010069,0,LIPSTICK STUN GUN,27.99,18,1,600,101,0,-1,,,,,,
74767010022,0,LIPSTICK STUN GUN,27.99,18.08,1,600,101,0,-1,,,,,,
01935800036,0,winter Hat,2.99,0.99,1,600,101,0,-1,,,,,,
09492256761,0,LIBIGROW #,5.99,3.25,1,600,101,1,0,,,,,,
02260097820,0,TROJAN WARM SENSATION,3.99,0,1,600,101,1,0,,,,,,
05070055711,0,PARADE CHARCOAL,3.39,2,1,600,101,1,0,,,,,,
71941040001,0,5 HR ENRGY LEM/LIM CU,2.99,1.5,1,600,101,0,0,,,,,,
03160011711,0,KIWI LIQUID WHIT,3.99,0,1,600,101,1,-1,,,,,,
08069204001,0,STRIKE N LITE,0.94,0.1137,100,600,101,0,170,LIGHTERS,Sams Club,,,,
07033000002,0,BIC MINI LIGHTER,1.41,0.5847,53,600,101,0,72,LIGHTERS,Colonial Grocers,,,,
07617105012,0,LITTLE TREE PUMP STRAWBERRY,3.99,1.39,1,600,101,0,-7,,,,,,
79255470104,0,GILLETTE SHAVE KIT,3.95,2.6,1,600,101,0,6,,H.T.Hackney,,,,
07301031409,0,TAMPAX SUPER FLSH APPL SS,3.75,2.27,1,600,101,1,5,,H.T.Hackney,,,,
71941060001,0,5-HR DECAF,2.99,1.5,1,600,101,0,-3,5- hour energy,,,,,
71941020001,0,5 HR ENRGY GRAPE,2.99,1.4583,12,600,101,0,-9,5- hour energy,Colonial Grocers,,,,
71941080001,0,5 HR POMOGRANATE,2.99,1.5,12,600,101,1,6,5- hour energy,Ace Distributors,,,,
71941070001,0,5 HR ENRGY XTR STRGTH,3.29,1.6658,12,600,101,0,-28,5- hour energy,B & A SALES LLC,,,,
71941030001,0,5 HR ENRGY ORANGE,2.99,1.4991,12,600,101,0,-31,5- hour energy,Ace Distributors,,,,
71941072001,0,5 HR EX ENRGY GRAPE,3.29,1.6666,12,600,101,0,-1,5- hour energy,Ace Distributors,,,,
71941016001,0,5-HOUR ENERGY CHERRY,2.99,1.5,12,600,101,0,0,5- hour energy,,,,,
71941074001,0,5-hour ENERGY XT/STREN STRAW/WATER,2.99,1.75,12,600,101,0,-5,5- hour energy,,,,,
71941014011,0,5 HOUR ENERGY PINK LMND,2.99,1.5,12,600,101,0,-21,5- hour energy,Ace Distributors,,,,
71941075001,0,5HR ENERGY PEACH,2.99,1.6666,12,600,101,0,-4,5- hour energy,Ace Distributors,,,,
82791207352,0,STIFFNIGHT,5.99,3.25,1,600,101,0,0,,,,,,
04133321501,0,DURACELL AA 2PK #,2.49,1.49,1,600,101,0,-5,,,,,,
35828694004,0,STACKER II EPHED #,1.99,1.2,1,600,101,1,0,,,,,,
04133341501,0,DURACELL AA 4PK,6.05,4,1,600,101,0,0,,,,,,
04133311601,0,DURACELL 9V,4.49,3,1,600,101,1,0,,,,,,
85708400005,0,STAMINA RX,2.99,1.5,1,600,101,1,0,,,,,,
04145700060,0,C VALET HAIR NETS BLACK 3PK,0.99,0.5,1,600,101,0,4,,H.T.Hackney,,,,
03700012442,0,SECRET SOLID STICK PWD F8,2.75,1.72,1,600,101,1,9,,H.T.Hackney,,,,
79255470128,0,LIL E HAND SANITIZER    8,2.35,1.46,1,600,101,0,-2,,H.T.Hackney,,,,
07940092280,0,SUAVE SHAMPOO WATERFALL 8,1.85,1.15,1,600,101,0,2,,H.T.Hackney,,,,
04460071175,0,1QT Kingsford Odorless Charcoal Lighter,5.09,3.3091,12,600,101,0,2,,H.T.Hackney,,,,
05070030381,0,PARADE COLD CUP,2.89,2.32,1,600,101,1,-2,,H.T.Hackney,,,,
07015800004,0,KRAZY GLUE GEL          2,2.29,1.375,12,600,101,0,1,,H.T.Hackney,,,,
03600037403,0,KLEENEX FACIAL TISSUE UP,2.29,2.06,1,600,101,0,4,,H.T.Hackney,,,,
03600037390,0,KLEENEX FACIAL TISSUE WH7,2.89,2.07,1,600,101,0,1,,H.T.Hackney,,,,
79255470111,0,LIL E MOUTHWASH SCOPE   8,1.85,1.11,1,600,101,0,6,,H.T.Hackney,,,,
04815590020,0,P/H PINE CLEANER        7,1.49,1.05,1,600,101,0,8,,H.T.Hackney,,,,
74767010102,0,TRIGGER STUN GUN,27.99,17,1,600,101,0,9,.99c 4 KINGS CIGAR ,Security Products Rus,,,,
88348400087,0,PERT SHAMPOO NORMAL #,3.65,0,1,600,101,1,0,,,,,,
79255462021,0,CARMEX JAR BLISTER,1.99,1.2,1,600,101,0,-4,,,,,,
07707103549,0,COOLER PROMO 30 QT      3,3.69,2.25,1,600,101,0,0,,,,,,
08089301035,0,LIL A TIRE REPAIR KIT  L8,2.95,1.5,1,600,101,1,0,,,,,,
70510583073,0,XXX LIBIGROW,5.99,3.25,1,600,101,0,0,,,,,,
02260095321,0,TROJAN PLEASURE PACK,3.99,0,1,600,101,1,0,,,,,,
79974528204,0,GINSING DRINK WT HONEY,2.99,1.5,1,600,101,0,0,,,,,,
04316890103,0,LIGHT BULB 40 WATTS,2.49,1.49,1,600,101,0,0,,,,,,
07707100061,0,COOLER W/PLASTIC HNDLE  3,5.79,3.25,1,600,101,0,0,,,,,,
69415535621,0,RETRACTABLE MICR #,11.99,5,1,600,101,1,-3,,,,,,
03660082801,0,CHAPSTICK LIPMOIST BC,1.99,1.2,1,600,101,0,-19,,,,,,
07447073267,0,GRANDMA ALMANAC,6,3.9,1,600,101,-1,2,,Britt's Ind.,,,,
